Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Benefits and perks,Job Type,monthly,hourly,daily,min_salary,max_salary,avg_salary,job_state,python_yn,rstudio_yn,spark_yn,aws_yn,excel_yn
Data Scientist,"₹5,00,000 - ₹10,00,000 a year","
Data Scientist - Machine Learning, Image Processing, and Computer Vision
Strong knowledge of Machine Learning, Image processing techniques, Image & video analysis, object recognition/tracking, and pattern recognition.
Expert knowledge in one or more fields: digital photogrammetry, digital image processing, data fusion techniques, and optimization algorithms.
Broad knowledge in one or more related fields: numerical analysis, data analysis, mathematical modeling, and estimation theory.
A good understanding of mathematical and statistical methods is essential. Expertise and good proficiency in Python (Mandatory), and R.
Experience in algorithmic and computational optimization.
Knowledge of AI techniques such as CNN, Computer Vision, Google Tensorflow + Keras, and Deep Learning is mandatory.
Knowledge of libraries such as Scikit-Image, SciPy, NumPy, Pillow, Matplotlib, Pandas, Open-CV, and StarDist is essential.
MS/M. Tech or BS/B. Tech in Mathematics, Statistics, Applied Mathematics, and Computer Science is preferred.
Good communication skills (oral, verbal, and written) are a must.
Job Type: Full-time
Salary: ₹500,000.00 - ₹1,000,000.00 per year
Benefits:
Health insurance
Schedule:
Day shift
Ability to commute/relocate:
Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)

Health insurance
Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 8 days ago
Posted 14 days ago",4.5,Aventior,"Pune, Maharashtra",Health insurance,Full-time,0,0,0,500000,1000000,750000.0,Maharashtra,1,0,0,0,0
Data Scientist,"₹11,00,000 - ₹12,00,000 a year","
Experience using python, deep learning, LSTM, BERT for atleast 2.5 years
Overall 4 years needed
Excellent communication skills.
Job Type: Full-time
Salary: ₹1,100,000.00 - ₹1,200,000.00 per year
Ability to commute/relocate:
Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Do you have 2.5 years of using deep learning, python, LSTM ,BERT?
Can you join within 30 days?
Are you from Pune?
Which location are you from?
Experience:
total work: 4 years (Preferred)
Hiring Insights
On-going need to fill this role
Job activity
Posted 1 day ago",3.6,Serendipity Corporate Services,"Pune, Maharashtra",,Full-time,0,0,0,1100000,1200000,1150000.0,Maharashtra,1,0,0,0,1
Assistant Data Science Engineer,"Up to ₹9,60,000 a year","
changing operational and environmental requirements. Such changes will be incorporated in the job description on annual basis

Job Description – Assistant Data Science Engineer
Designation Assistant Data Science Engineer
Department Impact QAMIS
Location Mumbai
Employment Type Renewable Full Time Employment Contract
Report to Data Science Engineer
Positions reporting to this role NA
Organization Background
Established in 2007, Educate Girls' is a non-profit that focusses on mobilising communities for girls' education in
India's rural and educationally backward areas.
Strongly aligned with the 'Right to Education Act' or the 'Samagra Siksha', Educate Girls is committed to the
Government's vision to improve access to primary education for children, especially young girls.
For further details about organization please visit www.educategirls.ngo
Our Values
Gender Equality Being able to treat people equally irrespective of gender
Integrity Possess the ability to “know and do” what is right
Excellence Being outstanding or extremely good, striving to lead by performance excellence
Collaboration
Working effectively and inclusively with a range of people both within and outside of
the organization
Empathy
Being able to understand and share the feelings of another and use that
understanding to guide our actions
Our Competencies
Strategic Thinking – Think big yet
act focused
Taking Ownership – Feel
responsible & accountable
Analytical Thinking – Stay true to
your data
Developing Talent – Growing and taking people
together
Ensuring Alignment – Think differently but work
together

This document reflects the job content at the time of designing the job description and will be subject to periodic change in the light of
changing operational and environmental requirements. Such changes will be incorporated in the job description on annual basis

The Assistant Data Science Engineer is expected to build models and automated processes that help EG maximise its
impact. This role will be instrumental in improving the predictive analytics capabilities of the team and enabling rapid
course correction in program delivery. Efficient management and mining of primary and secondary data sources to
enable timely and error-free reporting to our stakeholders will also be a key responsibility of this role. This role will
help grow data-driven decision making in the organization.

Areas of Responsibility:
o Data Modelling & Analysis 
Interpret data and analyze results and trends, using statistical techniques where appropriate. 
Develop comprehensive dashboards to monitor performance & quality of program delivery. 
Leverage predictive modeling to optimize targeting, improve program delivery, increase the pace
of course correction, and more. 
Capture operational requirements, formulate the ML questions and liaise with IT vendor to
implement the ML models. 
Prototype ideas, research and develop custom data/ML models and algorithms as required; test
model quality through A/B testing.
o Data Engineering and Management 
Build efficient and well documented methods for easy, repeatable extraction, cleaning and
validation of data from primary and secondary data sources. 
Build automated data pipelines & add data sources as required. 
Automate manual processes; build the infrastructure necessary for optimal extraction,
transformation, and loading of data (from a variety of sources leveraging Azure/AWS/ Python/SQL
technologies) 
Optimize data delivery and data management practices of EG. 
Liaise with:
Internal: Program & Operations
External: None
Education Background:
Minimum is a Bachelor’s Degree in a relevant data science field or a related field of study.
Work Experience: 
Minimum 2 years of relevant work experience data analytics/data visualization/ data management 
Minimum 2-3 Years of SQL experience and demonstrated ability to design and analyze data in
relational databases. Experience with PostgreSQL desirable. 
Minimum 1-2 years’ experience in data manipulation/cleaning using Python. Experience in Pandas
and machine learning using Python is desirable. 
Experience in designing and developing dashboards.

This document reflects the job content at the time of designing the job description and will be subject to periodic change in the light of
changing operational and environmental requirements. Such changes will be incorporated in the job description on annual basis


Skills Set: 
Soft skills:
o Excellent communication skills
o Critical & analytical thinking
o Target driven
o Interpersonal skills 
Technical skills:
o Intermediate to advanced skills in SQL.
o Basic to intermediate skills in Python and Linux.
o Demonstrated experience in dashboard design & development.
o Demonstrated analytical and assessment skills of quantitative and qualitative data.
o Strong skills in data modelling and analysis.
o Experience of machine learning.
o Knowledge of statistical analysis software (such as Stata, SPSS) would be a bonus. 
Travel requirement: 
Willingness to travel up to 25% of the time at the State/district level in program geographies
Travel requirement
As required for purposes of research, about 30% of the time
""Educate Girls is committed to achieving 50/50 gender balance in its staff. Female candidates are strongly
encouraged to apply for this position.""
Hiring Insights
Job activity
Posted today",,Educate Girls,"Mumbai, Maharashtra",,Full-time,0,0,0,0,960000,480000.0,Maharashtra,1,0,0,1,1
Data Scientist,"₹20,00,000 - ₹30,00,000 a year","
Role: Data Scientist (Structured Data)
Location: Bengaluru (Hybrid)
Experience: 2-5 years
The ideal candidate's favorite words are learning, data, scale, and agility. You will
leverage your strong collaboration skills and ability to extract valuable insights from
highly complex data sets to ask the right questions and find the correct answers. You
are a data pro with deep statistical knowledge and analytical aptitude. You know how
to make sense of massive amounts of data and gather deep insights. You will use
statistics, data mining, machine learning, and deep learning techniques to deliver
data-driven insights for clients. You are a thought leader with commercial acumen,
always on top of AI and ML trends.
Responsibilities:
● Analyze raw data: assessing quality, cleansing, and structuring for
downstream processing
● Design accurate and scalable prediction algorithms
● Collaborate with the engineering team to bring analytical prototypes to
production
● Generate actionable insights for business improvements
● Work with cross-functional teams to identify and understand business
problems and develop data-driven solutions.
● Communicate findings and insights to technical and non-technical
stakeholders in a clear and concise manner.
● Trainining & Onboarding New People to the team.
● Participate in peer review of code and other technical work to ensure
high-quality deliverables.
● Develop and maintain data pipelines and data integration processes to ensure
data quality and integrity.
● Stay up-to-date with the latest developments and trends in data science,
machine learning, and artificial intelligence.
Skills:
● Experience working with Physician segmentation, physician behavior
modeling, drug prescribability, drug prescription churn, physician prioritization.
● Pharma or Healthcare background preferred.
● Experience working with large datasets and data warehouses.
● Strong communication skills and experience working with
cross-functional teams.
● Ability to manage multiple projects simultaneously and deliver results
in a timely manner.
● Good Understanding of Machine Learning Project Life Cycle from
development to deployment to monitoring.
● Writing clean and modular code according to best practices
● Understanding of machine learning concepts including Clustering,
Classification, Tree-based ML methods, Hyperparameter tuning,
Feature importance methods (SHAP), Feature selection methods.
● Understanding of deep learning concepts including MLPs,
RNNs/LSTMs, and CNNs. And experience training deep learning
models.
● Good Knowledge of Python, SQL, PySpark.
● Fluency with Python, Database(MySQL/Postgres/MongoDB), Git
versioning, Data Analysis Libraries(NumPy, Pandas, Statsmodels, Dask),
Machine Learning Libraries( Scikit-learn), Deep Learning
Libraries (Tensorflow / Keras / Pytorch / fast.ai), Data Visualization
Libraries(Matplotlib, Plotly)
● Experience working with Step Functions, Docker etc.
● Familiarity with AWS or Azure
(Optional)
● Understanding of and experience with NLP techniques including
Word2vec, NER, topic modeling, RNNs/LSTMs, Transformers, and
BERT (and other large language models) among others.
● Understanding of and experience with CV techniques including
Resnet, MobileNet, Unet, Mask-RCNN, Siamese Networks,
GradCam, Image augmentation techniques, GANs and Vision
Transformers among others.
● Deployment - Flask, Tensorflow serving, Lambda functions, Docker.
● Familiarity with Big Data frameworks and visualization tools
(Cassandra, Hadoop, Spark, Tableau).
Note : If you feel that you meet all above criteria than please apply.
Job Type: Full-time
Salary: ₹2,000,000.00 - ₹3,000,000.00 per year
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Work from home
Schedule:
Day shift
Application Question(s):
How many years of team lead experience do you have working as a Data Scientist for a Health Care or Pharma backed projects?
How comfortable are you with statistics on a scale of 1 to 5?
How many years of work experience do you have with Extract, Transform, Load (ETL)?

Health insurance
Hiring Insights
Hiring 3 candidates for this role
Job activity
Employer reviewed job 4 days ago
Posted 6 days ago",-1,Flipped.ai,"Remote in Bengaluru, Karnataka
+1 location","Work from home , Provident Fund , Health insurance , Paid time off",Full-time,0,0,0,2000000,3000000,2500000.0,"Karnataka
+1location",1,0,1,1,0
Assistant Data Scientist,"Up to ₹10,00,000 a year","
Job Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns
Helping develop reports and analysis.
Present information using data visualization techniques.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Evaluating changes and updates to source production systems.
Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks
Providing technical expertise in data storage structures, data mining, and data cleansing.
Propose solutions and strategies to business challenges
Desired Skills and Experience:
At least 1 year of experience in Data Analysis
Complete understanding of Operations Research, Data Modelling, ML, and AI concepts.
Knowledge of Python is mandatory, familiarity with MySQL, SQL, Scala, Java or C++ is an asset
Experience using visualization tools (e.g. Jupyter Notebook) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills.
Bachelor’s / Master's Degree in Computer Science, Engineering, Data Science or other quantitative or relevant field is preferred
Job Type: Full-time
Salary: Up to ₹1,000,000.00 per year
Benefits:
Internet reimbursement
Work from home
Schedule:
Day shift
Experience:
one year of (Required)
Hiring Insights
Application response rate: 55%
On-going need to fill this role
Job activity
Employer reviewed job 1 day ago
Posted 30+ days ago",-1,Ascendeum,"Remote in Bengaluru, Karnataka","Work from home , Internet reimbursement",Full-time,0,0,0,0,1000000,500000.0,Karnataka,1,0,0,0,1
Data Scientist - Python,"₹4,48,704 - ₹18,82,259 a year","
Job Title : Data Scientist - Python
Experience: 5 - 6 years
Location : Trichy
Job type : Permanent Role
Job Description:
· 5+ years with Python
· Experience of Machine Learning and AI
· Knowledge of the principles of class-based object-oriented programming.
· Knowledge of standard web technology (HTTP, HTTPS, HTML5, client/server model)
· Exposure towards some Python libraries
· Exposure towards JavaScript, jQuery and Angular
· Worked with any one of the databases SQL or NoSQL database
Job Type: Regular / Permanent
Salary: ₹448,703.54 - ₹1,882,259.33 per year
Benefits:
Health insurance
Internet reimbursement
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Yearly bonus
Ability to commute/relocate:
Tiruchchirappalli, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 9578080626

Health insurance
Hiring Insights
Hiring 5 candidates for this role
Urgently hiring
Job activity
Employer reviewed job 4 days ago
Posted 23 days ago",4.2,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","Health insurance , Internet reimbursement",Regular / Permanent,0,0,0,448704,1882259,1165481.5,TamilNadu,1,0,0,0,0
Data Scientist,"₹4,00,000 - ₹6,50,000 a year","
Job Brief
We are seeking an experienced Data Analyst/Scientist to join our team at Show Time Consulting in Hyderabad, India. This is a full-time position where you will be responsible for analyzing and interpreting complex data to drive business decisions, identify trends and patterns and support the company's strategic goals.
Responsibilities
Building predictive models and performing statistical analysis to support business decisions and forecast future trends.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Knowledge on web scraping, automating the extraction of data from different sources in an efficient and fast way.
Communicating findings and insights to stakeholders through data visualization and other reporting methods.
Designing and implementing data systems and databases to support ongoing data analysis.
Gather, organize, and synthesize data to support both internal and external decision makers.
Required Qualifications
Bachelors or Master’s Degree in Computer Science, Data Science, Statistics, Mathematics or a related field.
Strong understanding of statistical analysis and Machine learning.
Familiarity with Programming languages such as Python, R and SQL.
Preferred Qualifications
Preferred 1+ years of experience in a data analyst role.
Experience with data visualization tools such as Tableau and Power Bi is a plus.
Interest in political knowledge would be preferred and a great add on.
Who are we?
We are an elite team of India's most innovative professionals that help politicians and political parties solve their short and long-term campaign challenges with data, research and design-based thinking. Our past work includes building wildly successful organizations, driving large scale campaigns in the remotest parts of India, and solving highly challenging problems. We are currently one of India's fastest-growing startups.
Job Type: Full-time
Salary: ₹400,000.00 - ₹650,000.00 per year
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Ability to commute/relocate:
Hyderabad, Telangana: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Hiring Insights
Hiring 5 candidates for this role
Job activity
Employer reviewed job 2 days ago
Posted 13 days ago",-1,ShowTime Consulting,"Hyderabad, Telangana",,Full-time,0,0,0,400000,650000,525000.0,Telangana,1,0,0,0,0
Data Scientist Training,"From ₹15,000 a month","
About us
Paarsh Infotech Pvt Ltd is a small business in Nashik, Maharashtra. We are professional.
Our work environment includes:
Modern office setting
Paarsh Infotech Pvt Ltd are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.
To succeed in this position; you need to be curious, creative, and tech-savvy. You need to stay up to date with data programming software and apps, have an outstanding understanding of statistics and mathematics and be proficient in writing algorithms. Top candidates will be persistent and have excellent analytical and problem-solving skills.
Data Scientist Responsibilities:
Having meetings with team members regarding projects.
Collecting and interpreting data.
Automating and integrating processes.
Researching solutions to overcome data analytics challenges.
Developing complex mathematical models that integrate business rules and requirements.
Creating machine learning models.
Communicating and meeting with engineers, IT teams, and other interested parties.
Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.
Data Scientist Requirements:
Advanced coursework in machine learning and programming.
Experience using data visualization tools.
Experience with data querying languages, and statistical or mathematical software.
Proficient in writing algorithms, and knowing when to apply them.
Excellent understanding of statistics, multivariable calculus, and linear algebra.
Outstanding communication skills.
Job Types: Full-time, Part-time, Fresher, Internship
Contract length: 6 months
Part-time hours: 6 per week
Salary: From ₹15,000.00 per month
Benefits:
Flexible schedule
Health insurance
Life insurance
Paid time off
Schedule:
Day shift
Flexible shift
Supplemental pay types:
Commission pay
Overtime pay
Performance bonus
Quarterly bonus
Yearly bonus
Work Location: One location

Health insurance
Hiring Insights
Hiring 10+ candidates for this role
Urgently hiring
Job activity
Employer reviewed job 2 days ago
Posted 13 days ago",-1,Paarsh Infotech Pvt Ltd,"Nashik, Maharashtra","Life insurance , Health insurance , Paid time off","Full-time, Part-time, Internship, Fresher",1,0,0,15000,0,7500.0,Maharashtra,0,0,0,0,1
Freelance Data Scientist / Optimization Specialist,"₹4,00,000 - ₹6,00,000 a year","
Title: Freelance Data Scientist / Optimization Specialist for Crypto Project Revenue Optimization
Job Description:
We are seeking an experienced Data Scientist or Optimization Specialist to help us optimize the revenue of our crypto project, Magpie. Magpie is a customized fork of Convex built on top of Wombat Exchange. Our goal is to maximize revenue by optimizing various parameters, such as MGP emission percentages, based on historical data and changing market conditions.
Responsibilities:
Analyze historical data and market trends to identify key factors influencing Magpie's revenue
and implement an appropriate optimization model, such as Bayesian Optimization, to maximize revenue while adapting to changing market conditions
Fine-tune model parameters based on feedback and performance metrics
Collaborate with our team to integrate the optimization model into our existing system
Provide ongoing support and updates to the model as needed
Requirements:
Proven experience in data science, optimization, or a related field
Strong knowledge of optimization algorithms and techniques, such as Bayesian Optimization, PID control, or others
Experience working with crypto projects, DeFi, or related areas is a plus
Proficient in Python or other programming languages commonly used in data science and optimization
Excellent analytical, problem-solving, and communication skills
Ability to work independently and collaboratively with our team
To apply, please submit your resume, a brief description of your experience with optimization models, and any relevant project examples or case studies.
Job Type: Freelance
Contract length: 6 months
Salary: ₹400,000.00 - ₹600,000.00 per year
Schedule:
Day shift
Experience:
total work (Preferred)
Work Location: Remote
Application Deadline: 23/03/2023
Hiring Insights
Application response rate: 65%
Hiring 3 candidates for this role
Urgently hiring
Job activity
Employer reviewed job 2 days ago
Posted 19 days ago",-1,Magpie XYZ,Remote,,"Contractual / Temporary, Freelance",0,0,0,400000,600000,500000.0,Remote,1,0,0,0,1
"Intern - Data Analytics, Energy","₹25,000 a month","
Intern - Data Analytics, Energy
Who we are and what we do?

WRI India, an independent charity legally registered as the India Resources Trust, provides objective information and practical proposals to foster environmentally sound and socially equitable development. WRI India’s mission is to move human society to live in ways that protect Earth’s environment and its capacity to provide for the needs and aspirations of current and future generations. Through research, analysis, and recommendations, WRI India puts ideas into action to build transformative solutions to protect the earth, promote livelihoods, and enhance human well-being.
We are inspired by and associated with World Resources Institute (WRI), a global research organization. Currently over 250 researchers are working with WRI India in our offices at Delhi, Mumbai and Bengaluru.

Program Overview for Energy

The objective of the WRI India energy program is to inform and guide India’s transition to cleaner energy. The program focuses on three inter-related aspects of this energy transition: enhancing energy access, scaling renewables among specific consumer categories, and achieving higher levels of energy and buildings efficiency. Our energy access work is specifically aimed at ensuring access to affordable and clean energy so as to improve socio-economic development in rural and remote regions of India. Through strong research, ground-level implementation experience, partnerships with key stakeholders and communicating our work, we seek to achieve impact at scale.

About your role:

WRI India is seeking an intern for its Energy Program. Our energy access work is to support research on advancing demand-driven solutions for affordable, reliable, clean energy to power sustainable development, with a specific focus on Jharkhand.
How your day will unfold:

The intern will undertake a range of responsibilities as listed below.
Extending the regression analysis from PHC to all the facilities to identify the causal linkages between electricity and key service delivery indicators.
Using statistical tools to interpret data sets, identify trends and patterns that could be valuable for the project’s diagnostic and predictive analytics efforts
Creating appropriate documentation that allows stakeholders to understand the steps of the data analysis process and duplicate or replicate the analysis, if necessary
Sharpen insights by complementing the analyses by working closely with project team and conducting literature review and consultations to validate abovementioned findings
Reviewing and summarizing the papers and articles provided by the team
Mining and collating electricity and socio-economic development related data (including with geo-spatial attributes) from secondary sources, cleaning, processing, and reorganizing data in a standardized format that can be read by either human or machine

Skills and Qualifications we seek:

Completed or on-going higher education degree in Statistics, Data Science, Analytics, development economics, Mathematics, or related social science subjects
Experience in conducting data mining, evaluation, analysis, and visualizations
Experience of using programming languages and tools like Python, R, Stata, Tableau, SAS, Macro functions in Excel for analysing and interpreting data
Experience in translating analyses and data interpretation into descriptive reports and presentations
Working knowledge of statistical and geo-spatial databases especially with respect to Jharkhand, and an understanding of the relationship between electricity access and socio-economic development is preferable


Stipend: INR 25,000 Per month

Salary shall be commensurate with experience and skills. WRI offers a generous and comprehensive benefits package.
Duration: 2 Months
Location: Remote, India
Start date: As soon as possible

List of Documents to be attached:
Cover Letter
Resume
Only shortlisted applicants will be contacted for interview purpose.
Diversity, Equity, and Inclusion (DEI) @WRI India
WRI India values and promotes diversity, equity and inclusion across all areas of our work and workforce. Integrating these values into our actions fosters a progressive and collaborative culture and can also enhance our impact. It is our responsibility to create a welcoming working environment for people of diverse cultures, backgrounds and experience to learn together. We are responsible for fostering a safe and inclusive workplace where questions, concerns and information about diversity, equity and inclusion are part of our ongoing dialogue and development.
Learn more about WRI India’s commitment to Diversity, Equity, and Inclusion (DEI). Click Here
Hiring Insights
Job activity
Posted 1 day ago",,WRI India,"Remote in Mehrau;I, Delhi
+2 locations",,Internship,1,0,0,25000,0,12500.0,"Delhi
+2locations",1,0,0,0,1
