Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Benefits and perks,Job Type,monthly,hourly,daily,min_salary,max_salary,avg_salary,job_state,python_yn,rstudio_yn,spark_yn,aws_yn,excel_yn
Faculty- Artificial Intelligence,"Up to ₹30,000 a month","
We are a fast-growing ed-tech company with the mission to upskill professionals, helping them fill exciting opportunities that will shape the industry's future.
Targeted toward working professionals, we provide cutting-edge programs in next-generation areas like Data Science & AI. Our USP is to provide a transformative learning experience that will help learners become industry leaders.
Your job responsibilities will include:
Training working professionals on in-demand skills like Data analysis, Machine Learning etc
Delivering highly interactive lectures
Develop cutting edge and innovative content for classes to help facilitate delivery of classes in an interesting way
Continuously improve the delivery experience to ensure that experience of students is world class
Should have minimum of 1+ years experience in AI industry
Should have strong command over any one programming language- Python, R, .NET, Java
Should ideally be conversant with Machine Learning, Data analysis concepts etc
Passion for teaching and training is a must
Strong communication skills and ability to delivery highly interactive lectures is a must
Job Type: Full-time
Salary: From ₹30,000.00 per month
Benefits:
Cell phone reimbursement
Schedule:
Day shift
Ability to commute/relocate:
Ernakulam, Kochi - 682020, Kerala: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
total work: 1 year (Preferred)
Speak with the employer +91 8086638555
Application Deadline: 28-02-2023
Expected Start Date: 01/03/2023
Job Types: Full-time, Regular / Permanent, Fresher
Salary: Up to ₹30,000.00 per month
Benefits:
Cell phone reimbursement
Paid sick time
Schedule:
Day shift
Supplemental pay types:
Commission pay
Overtime pay
Performance bonus
Ability to commute/relocate:
Ernakulam, Kerala: Reliably commute or planning to relocate before starting work (Required)
Education:
Master's (Preferred)
Experience:
Teaching (Preferred)
Making lesson Plans (Preferred)
total work (Preferred)
Language:
English (Preferred)
Speak with the employer
+91 8086638555
Hiring Insights
Hiring 1 candidate for this role
Job activity
0
Posted 30+ days ago",-1.0,United Group of Initiatives,"Ernakulam, Kerala","Cell phone reimbursement , Paid sick time","Full-time, Fresher, Regular / Permanent",1,0,0,0,30000,15000.0,Kerala,1,0,0,0,0
Data Scientist - Paid Media,"₹13,16,547 - ₹19,30,936 a year","What you’ll do:
The Paid Media Scientist will be responsible for managing data and analysis of Media Buying results. Reporting directly to the Web and Marketing Automation Manager and functionally to the EMEA Head of Advertising and Demand Generation, the Paid Media Data Scientist will be in charge of creating the reporting structure and process for media buying activities in EMEA. This includes the creation of reports in Power BI and other tools via database lookups, data matching and finding automated solutions for manual data transfer from various data sources such as Google Analytics, Google Ads, Facebook and LinkedIn.
The Paid Media Data Scientist will work on the development and implementation of the business intelligence tools and analytics, which will require communicating between upper management and the Analytics center of excellence, as well as analyzing data to support the company's continuous improvement effor+ts.
Working closely with the media buying team, he/she will drive Eaton’s digital and analytics transformation and contribute to building analytics frameworks for the organisation. He/She will work in a big data enviroment, apply machine learning and statistical techniques, and create data visualisations to answer current business questions and increase productivity. He/She will support process harmonisation, and apply Scrum methodology to analytics development. ""
On a continuous basis, the Paid Media Analyst will be responsible for:
Developing and managing business intelligence solutions for the organization
Oversee the deployment of data to the data warehouse
Monitor scheduled ETL processes
Advise peers and other teams on how to improve their data maturity and identify compelling data opportunities
Apply Agile, SCRUM, and lean methodologies (stand-up, sprint review, kanban, kaizen, user stories) to product development
Act as a primary liaison on advertising analytics for business stakeholders (EMEA Sales and Marketing)
The Paid Media Data Scientist will be in charge of setting up reporting processes, database connections and reporting of paid media campaigns via tools such as Power BI. His key tasks will be the following:
Reporting data ingestion:
Manage the data feeds for advertising partners
Make sure that the data is integrated into other sales and marketing systems such as Eloqua
Identify automatic ways of data matching via scripts and data modelling tools to increase productivity
Power BI report creation and optimization:
Create advertising reports in Power BI
Enable datasets to create reports that surface our advertising data in Power BI
Automate reports and data workflows (using tools such as Power Automate, etc.)
Conduct end-to-end analyses from the idea phase all the way through to end results including the presentation and communication of findings
Perform exploratory data analyses on large and complex data sets using descriptive statistics
Apply appropriate statistical or machine learning techniques (regression, classification, clustering) to model complex problems, find opportunities to increase sales productivity, discover solutions, and deliver actionable business insights
Manage, maintain, and clean complex datasets in big data environment
This is an excellent opportunity for an Data Scientist with an internationally large scope across EMEA, which is perfectly suited for an individual with excellent project management skills, attention to detail, analytical capacities and an understanding of digital marketing.
Qualifications:
Degree in quantitative field (such as maths or computer science) or 5+ years of experience in data science/data analytics
5+ years of experience in data analytics
Minimum knowledge:
Advanced Excel skills, database management and data modelling knowledge

Skills:
Preferred skills:
Experience with data modeling tools such as Power BI and Cloudera or similar (Tableau, Qlickview, SAS data visualization, Microstrategy, Cognos, Business Objects, Pyramid analytics, Looker, etc)
Data science tools such as Alteryx, Knine, Data Iku, SAS enterprise guide (SAS EG), Rapid Miner, Tipco data science
General understanding of marketing and ideally advertising
Data Engineering: Ability to
Automate extracts from system
Set up ODBC drivers
Connect to Hadoop/Cloud data marts
Data Transformations: good knowledge of
Sql: Joins, Filters, Calculated Columns
Power Query/Dax
Parsing & RegEx
Complex data modeling
Integration of multiple datasets
Metadata enrichment
Manipulation of unstructured text files
Data Visualisation:
Experience with Power BI or similar
Enhanced reporting techniques: Highlighting, comparisons, benchmarking, trends, Graphical design
Excel Pivot Tables
Machine Learning:
Regression
Univariate Testing
Non parametric distribution
Programming in Python or R
Jupiter notebooks
Statistics: Understanding of:
Averages
Distribution
Correlation
Project Management:
Scrum methodologies
Continuous improvement methodology
Prepare UAT scripts
Report testing
Documentation
Additional assets:
Google Ads, Google Analytics, Social Media advertising (preferrably on LinkedIn or Facebook); Programmatic advertising knowledge; Search Engine Marketing & Optimization; Web content management; Marketing Automation; Contact database management; Content Orchestration platforms such as Percolate; general skills in common Marketing Technology platforms; Tagging knowledge
Strong interpersonal skills, including written and oral communication skills
Experience working with, and presenting to, senior executives
Comfort dealing with ambiguity and the ability to work independently
Ability to streamline functions and passion to learn and grow
Analytical mindset, agile, creative/out of the box thinking, attention to detail, project management skills
General curiosity for analysing, ability to think critically and see the big picture
Ability to present complex analysis results to both technical and non-technical global audiences
Unquestioned integrity and the highest ethical standards
High level of analytical and problem-solving skills with strong attention to details and dedication to data accuracy ""
Hiring Insights
Job activity
Posted Today",3.7,Eaton Corporation,"Pune, Maharashtra",,nan,0,0,0,1316547,1930936,1623741.5,Maharashtra,1,0,0,0,1
Data Scientist,"₹5,00,000 - ₹10,00,000 a year","
Data Scientist - Machine Learning, Image Processing, and Computer Vision
Strong knowledge of Machine Learning, Image processing techniques, Image & video analysis, object recognition/tracking, and pattern recognition.
Expert knowledge in one or more fields: digital photogrammetry, digital image processing, data fusion techniques, and optimization algorithms.
Broad knowledge in one or more related fields: numerical analysis, data analysis, mathematical modeling, and estimation theory.
A good understanding of mathematical and statistical methods is essential. Expertise and good proficiency in Python (Mandatory), and R.
Experience in algorithmic and computational optimization.
Knowledge of AI techniques such as CNN, Computer Vision, Google Tensorflow + Keras, and Deep Learning is mandatory.
Knowledge of libraries such as Scikit-Image, SciPy, NumPy, Pillow, Matplotlib, Pandas, Open-CV, and StarDist is essential.
MS/M. Tech or BS/B. Tech in Mathematics, Statistics, Applied Mathematics, and Computer Science is preferred.
Good communication skills (oral, verbal, and written) are a must.
Job Type: Full-time
Salary: ₹500,000.00 - ₹1,000,000.00 per year
Benefits:
Health insurance
Schedule:
Day shift
Ability to commute/relocate:
Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)

Health insurance
Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 5 days ago
Posted 11 days ago",-1.0,Aventior,"Pune, Maharashtra",,Full-time,0,0,0,500000,1000000,750000.0,Maharashtra,1,0,0,0,0
Assistant Data Scientist,"Up to ₹10,00,000 a year","
Job Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns
Helping develop reports and analysis.
Present information using data visualization techniques.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Evaluating changes and updates to source production systems.
Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks
Providing technical expertise in data storage structures, data mining, and data cleansing.
Propose solutions and strategies to business challenges
Desired Skills and Experience:
At least 1 year of experience in Data Analysis
Complete understanding of Operations Research, Data Modelling, ML, and AI concepts.
Knowledge of Python is mandatory, familiarity with MySQL, SQL, Scala, Java or C++ is an asset
Experience using visualization tools (e.g. Jupyter Notebook) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills.
Bachelor’s / Master's Degree in Computer Science, Engineering, Data Science or other quantitative or relevant field is preferred
Job Type: Full-time
Salary: Up to ₹1,000,000.00 per year
Benefits:
Internet reimbursement
Work from home
Schedule:
Day shift
Experience:
one year of (Required)
Hiring Insights
Application response rate: 52%
On-going need to fill this role
Job activity
0
Posted 30+ days ago",-1.0,Ascendeum,"Remote in Bengaluru, Karnataka","Work from home , Internet reimbursement",Full-time,0,0,0,0,1000000,500000.0,Karnataka,1,0,0,0,1
Vacancy for Data Scientist,"Up to ₹30,00,019 a year","
Primary skills :- Data science ( ML ), NLP ,computer vision and SQL
Secondary :- AWS & Devops
Ability to read and implement research papers and propose solutions and strategies to tackle business challenges
Programming Skills – Required Python, and database query languages like SQL
Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc.
Machine Learning – Good knowledge on machine learning methods like Decision tree, XGBoost, LightGBM etc., and hands-on experience on Neural network-based models like LSTM using TensorFlow, Keras etc.
Excellent Communication Skills – Important to describe findings to a technical and non-technical audience.
Job Type: Full-time
Salary: Up to ₹3,000,019.00 per year
Schedule:
Day shift
Hiring Insights
Hiring 1 candidate for this role
Job activity
Posted 4 days ago",-1.0,Serendipity Corporate Services,"Pune, Maharashtra",,Full-time,0,0,0,0,3000019,1500009.5,Maharashtra,1,0,0,1,1
Data Scientist Training,"From ₹15,000 a month","
About us
Paarsh Infotech Pvt Ltd is a small business in Nashik, Maharashtra. We are professional.
Our work environment includes:
Modern office setting
Paarsh Infotech Pvt Ltd are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.
To succeed in this position; you need to be curious, creative, and tech-savvy. You need to stay up to date with data programming software and apps, have an outstanding understanding of statistics and mathematics and be proficient in writing algorithms. Top candidates will be persistent and have excellent analytical and problem-solving skills.
Data Scientist Responsibilities:
Having meetings with team members regarding projects.
Collecting and interpreting data.
Automating and integrating processes.
Researching solutions to overcome data analytics challenges.
Developing complex mathematical models that integrate business rules and requirements.
Creating machine learning models.
Communicating and meeting with engineers, IT teams, and other interested parties.
Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.
Data Scientist Requirements:
Advanced coursework in machine learning and programming.
Experience using data visualization tools.
Experience with data querying languages, and statistical or mathematical software.
Proficient in writing algorithms, and knowing when to apply them.
Excellent understanding of statistics, multivariable calculus, and linear algebra.
Outstanding communication skills.
Job Types: Full-time, Part-time, Fresher, Internship
Contract length: 6 months
Part-time hours: 6 per week
Salary: From ₹15,000.00 per month
Benefits:
Flexible schedule
Health insurance
Life insurance
Paid time off
Schedule:
Day shift
Flexible shift
Supplemental pay types:
Commission pay
Overtime pay
Performance bonus
Quarterly bonus
Yearly bonus
Work Location: One location

Health insurance
Hiring Insights
Hiring 10+ candidates for this role
Urgently hiring
Job activity
Employer reviewed job 2 days ago
Posted 10 days ago",-1.0,Paarsh Infotech Pvt Ltd,"Nashik, Maharashtra","Life insurance , Health insurance , Paid time off","Full-time, Part-time, Internship, Fresher",1,0,0,15000,0,7500.0,Maharashtra,0,0,0,0,1
Data Scientist,"₹30,00,000 a year","
Job Description:
Ability to navigate through massive database structures to mine relevant data through python scripts and SQL queries
Building meaningful data models with right prototyping approach, which translate to real-world business metric and not just remain fancy jargons on blog posts
Responsible for deployment of the data models to cloud with the help of data engineering team
Making complex things look simple ;) - Simplicity is our biggest strength
Strong sense of ownership, demonstrate detailed craftsmanship, enjoy collaboration - It is about WE, not ME.
Work closely with Product team to represent Tech@Carnot for crucial partnerships with Mahindra and future partners
Strong fundamentals of sklearn, shapely, GIS, and statistics is a must have.
Big plus if you are well aware of deep learning frameworks, execution and have worked on image based data model problems in the past
Exceptional verbal, presentation, and written communications skills to convey information clearly to the different audience. Data without presentation is useless.
Technical requirements:
Strong grasp of Python, SQL, sklearn fundamentals
Past working experience with Geo-spatial/remote-sensing/satellite data
Good grasp of ML Models/frameworks (e.g., Linear Regression, LightGBM, tree-based learning algorithms, etc.)
Hands-on with Shapely, GDAL
Familiarity with image manipulation using Python/Go
Experience in deploying the data models to the cloud with the help of the data engineering team
Good to have:
Prior experience working with satellite imagery & vegetation indices is a huge plus
Working knowledge of MongoDB, Go
Working experience in GCP/Azure/AWS is plus
Job Type: Full-time
Salary: ₹3,000,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data science: 4 years (Preferred)
Hiring Insights
Application response rate: 57%
Hiring 1 candidate for this role
Job activity
0
Posted 30+ days ago",-1.0,Rudrateck Solution,"Mumbai, Maharashtra",,Full-time,0,0,0,0,0,0.0,Maharashtra,1,0,0,1,0
Data Scientist,"₹20,00,000 - ₹30,00,000 a year","
Role: Data Scientist (Structured Data)
Location: Bengaluru (Hybrid)
Experience: 2-5 years
The ideal candidate's favorite words are learning, data, scale, and agility. You will
leverage your strong collaboration skills and ability to extract valuable insights from
highly complex data sets to ask the right questions and find the correct answers. You
are a data pro with deep statistical knowledge and analytical aptitude. You know how
to make sense of massive amounts of data and gather deep insights. You will use
statistics, data mining, machine learning, and deep learning techniques to deliver
data-driven insights for clients. You are a thought leader with commercial acumen,
always on top of AI and ML trends.
Responsibilities:
● Analyze raw data: assessing quality, cleansing, and structuring for
downstream processing
● Design accurate and scalable prediction algorithms
● Collaborate with the engineering team to bring analytical prototypes to
production
● Generate actionable insights for business improvements
● Work with cross-functional teams to identify and understand business
problems and develop data-driven solutions.
● Communicate findings and insights to technical and non-technical
stakeholders in a clear and concise manner.
● Trainining & Onboarding New People to the team.
● Participate in peer review of code and other technical work to ensure
high-quality deliverables.
● Develop and maintain data pipelines and data integration processes to ensure
data quality and integrity.
● Stay up-to-date with the latest developments and trends in data science,
machine learning, and artificial intelligence.
Skills:
● Experience working with Physician segmentation, physician behavior
modeling, drug prescribability, drug prescription churn, physician prioritization.
● Pharma or Healthcare background preferred.
● Experience working with large datasets and data warehouses.
● Strong communication skills and experience working with
cross-functional teams.
● Ability to manage multiple projects simultaneously and deliver results
in a timely manner.
● Good Understanding of Machine Learning Project Life Cycle from
development to deployment to monitoring.
● Writing clean and modular code according to best practices
● Understanding of machine learning concepts including Clustering,
Classification, Tree-based ML methods, Hyperparameter tuning,
Feature importance methods (SHAP), Feature selection methods.
● Understanding of deep learning concepts including MLPs,
RNNs/LSTMs, and CNNs. And experience training deep learning
models.
● Good Knowledge of Python, SQL, PySpark.
● Fluency with Python, Database(MySQL/Postgres/MongoDB), Git
versioning, Data Analysis Libraries(NumPy, Pandas, Statsmodels, Dask),
Machine Learning Libraries( Scikit-learn), Deep Learning
Libraries (Tensorflow / Keras / Pytorch / fast.ai), Data Visualization
Libraries(Matplotlib, Plotly)
● Experience working with Step Functions, Docker etc.
● Familiarity with AWS or Azure
(Optional)
● Understanding of and experience with NLP techniques including
Word2vec, NER, topic modeling, RNNs/LSTMs, Transformers, and
BERT (and other large language models) among others.
● Understanding of and experience with CV techniques including
Resnet, MobileNet, Unet, Mask-RCNN, Siamese Networks,
GradCam, Image augmentation techniques, GANs and Vision
Transformers among others.
● Deployment - Flask, Tensorflow serving, Lambda functions, Docker.
● Familiarity with Big Data frameworks and visualization tools
(Cassandra, Hadoop, Spark, Tableau).
Note : If you feel that you meet all above criteria than please apply.
Job Type: Full-time
Salary: ₹2,000,000.00 - ₹3,000,000.00 per year
Benefits:
Health insurance
Paid sick time
Paid time off
Provident Fund
Work from home
Schedule:
Day shift
Application Question(s):
How many years of team lead experience do you have working as a Data Scientist for a Health Care or Pharma backed projects?
How comfortable are you with statistics on a scale of 1 to 5?
How many years of work experience do you have with Extract, Transform, Load (ETL)?

Health insurance
Hiring Insights
Hiring 3 candidates for this role
Job activity
Posted 4 days ago",-1.0,Flipped.ai,"Remote in Bengaluru, Karnataka","Work from home , Provident Fund , Health insurance , Paid time off",Full-time,0,0,0,2000000,3000000,2500000.0,Karnataka,1,0,1,1,0
Data Scientist - Python,"₹4,48,704 - ₹18,82,259 a year","
Job Title : Data Scientist - Python
Experience: 5 - 6 years
Location : Trichy
Job type : Permanent Role
Job Description:
· 5+ years with Python
· Experience of Machine Learning and AI
· Knowledge of the principles of class-based object-oriented programming.
· Knowledge of standard web technology (HTTP, HTTPS, HTML5, client/server model)
· Exposure towards some Python libraries
· Exposure towards JavaScript, jQuery and Angular
· Worked with any one of the databases SQL or NoSQL database
Job Type: Regular / Permanent
Salary: ₹448,703.54 - ₹1,882,259.33 per year
Benefits:
Health insurance
Internet reimbursement
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Yearly bonus
Ability to commute/relocate:
Tiruchchirappalli, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Speak with the employer
+91 9578080626

Health insurance
Hiring Insights
Hiring 5 candidates for this role
Urgently hiring
Job activity
Employer reviewed job 15 days ago
Posted 20 days ago",-1.0,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","Health insurance , Internet reimbursement",Regular / Permanent,0,0,0,448704,1882259,1165481.5,TamilNadu,1,0,0,0,0
Data Scientist,"₹4,00,000 - ₹6,50,000 a year","
Job Brief
We are seeking an experienced Data Analyst/Scientist to join our team at Show Time Consulting in Hyderabad, India. This is a full-time position where you will be responsible for analyzing and interpreting complex data to drive business decisions, identify trends and patterns and support the company's strategic goals.
Responsibilities
Building predictive models and performing statistical analysis to support business decisions and forecast future trends.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Knowledge on web scraping, automating the extraction of data from different sources in an efficient and fast way.
Communicating findings and insights to stakeholders through data visualization and other reporting methods.
Designing and implementing data systems and databases to support ongoing data analysis.
Gather, organize, and synthesize data to support both internal and external decision makers.
Required Qualifications
Bachelors or Master’s Degree in Computer Science, Data Science, Statistics, Mathematics or a related field.
Strong understanding of statistical analysis and Machine learning.
Familiarity with Programming languages such as Python, R and SQL.
Preferred Qualifications
Preferred 1+ years of experience in a data analyst role.
Experience with data visualization tools such as Tableau and Power Bi is a plus.
Interest in political knowledge would be preferred and a great add on.
Who are we?
We are an elite team of India's most innovative professionals that help politicians and political parties solve their short and long-term campaign challenges with data, research and design-based thinking. Our past work includes building wildly successful organizations, driving large scale campaigns in the remotest parts of India, and solving highly challenging problems. We are currently one of India's fastest-growing startups.
Job Type: Full-time
Salary: ₹400,000.00 - ₹650,000.00 per year
Schedule:
Day shift
Supplemental pay types:
Performance bonus
Ability to commute/relocate:
Hyderabad, Telangana: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Hiring Insights
Hiring 5 candidates for this role
Job activity
Employer reviewed job 6 days ago
Posted 10 days ago",-1.0,ShowTime Consulting,"Hyderabad, Telangana",,Full-time,0,0,0,400000,650000,525000.0,Telangana,1,0,0,0,0
