Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data scientist,₹436K - ₹480K ,4.5,ICICI Prudential Life,Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,₹273K - ₹918K ,4.1,Deloitte,Chennai,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
Senior Data Scientist,₹392K - ₹779K ,3.7,Kroll,Hyderābād,5001 to 10000 Employees,1932,Company - Private,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD)
Data Science,₹300K - ₹833K ,3.9,Infosys Limited,Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist,₹1M ,-1,Serendipity corporate services,Pune,1 to 50 Employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable
Data scientist - Lead,₹436K - ₹480K ,4.5,ICICI Prudential Life,Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD)
Assistant Manager - US Innovation Data Scientist - Bengaluru/Mumbai,₹300K - ₹945K ,4.1,Deloitte,Bangalore,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
Data Scientist,₹400K - ₹650K ,-1,ShowTime Consulting,Hyderābād,-1,-1,-1,-1,-1,-1
Data Scientist (Machine Learning),-1,4.4,TechStep,India,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,₹810K - ₹920K ,4.0,Mercedes-Benz Research and Development India Private Limited,Bangalore,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
Data Scientist,₹300K - ₹833K ,3.9,Infosys Limited,Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Machine Learning Engineer,-1,4.6,Aidaptive,India,1 to 50 Employees,2021,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist II,₹848K - ₹906K ,4.1,General Mills,Mumbai,10000+ Employees,1866,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist Consultant,₹587K - ₹906K ,3.9,EY,Bangalore,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable
