Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Benefits and perks,Job Type
Assistant Manager - US Innovation Data Scientist - Bengaluru/Mumbai,-1,"US Innovation Data Scientist (Assistant Manager)
Deloitte US innovation is looking for a senior data scientist to join our R&D team within the Service Delivery Transformation (SDT) function. The US Innovation team's mission is to serve as a catalyst, orchestrator and enabler of innovation and core service delivery transformation across the firm. As a senior data scientist, you will be working with cutting-edge technologies such as generative AI in our R&D AI lab and will be required to help discover novel technologies, build experimental use case applications, and showcase relevant use cases to our business transformation. You will also work closely with other data scientists guiding them for their deliverables and strategizing project goals.
The Team
Deloitte US Innovation is dedicated to driving transformation across the firm to improve service delivery and help businesses remain competitive. The Service Delivery Transformation function in US Innovation is a critical part of this mission, with R&D at the heart of it. The R&D team is focused on discovering and experimenting with cutting-edge AI technologies to help reimagine business service delivery.
Work You’ll Do:
As a senior data scientist on the R&D team, you'll play a key role in identifying and experimenting with state-of-the-art AI technologies. You'll work on practical applications of these technologies, collaborating with stakeholders across the firm to build prototypes and showcase use cases. You'll also proactively showcase live demos of R&D-built prototypes applications to business stakeholders, to help foster the adoption of transformative technologies, along with strategizing end deliverables.
Responsibilities:
Extract, load and transform data (ETL) from structured and unstructured sources
Apply Natural Language Processing and Computer Vision to solve business use cases,
Create and fine-tune machine learning and statistical models
Work with public cloud provider and their related technologies for machine learning, cognitive services e.g. (AWS Sage maker, Azure cognitive services etc.)
Design and refinement of machine learning algorithms through all layers of an application such as frontend, integration, application, and business logic.
Dependency management as well as source code control such as Git
Experience with GPU-based training and optimization
Excellent written and verbal communication skills for coordinating across teams
Ability to work in a collaborative team environment.
Guiding fellow data scientists to deliver top quality deliverables and contribute to project plan
Proactive in managing issues and problems, comfortable with ambiguity
Stay up to date with the latest advancements in machine learning like Generative AI (e.g., Large Language Models) and apply same for use cases within pipeline
Learn and master new technologies and techniques and upskill junior resources
Mandatory Skills:
Knowledge of Python and related libraries (Numpy, pandas, Scikit, Tensorflow, Keras, pytorch, etc.)
Good knowledge of statistics, scientific method, data collection and cleaning
Experience creating and using advanced machine learning algorithms and statistics: regression and clustering analysis neural networks, CNN's, RNN's, etc.
Hands on knowledge in data mining and statistical analysis
Experience with all or one of the cognitive technologies like – Natural Language Processing, Computer Vision, etc.
Experience with data visualization tools, such as Tableau, PowerBI D3.js, GGplot, etc.
Experience on deep learning, NLP/Large Language Models (e.g., GPT-3)
Experience with AWS Sage maker, Azure Cognitive services
Experience and hands on knowledge on UNIX
Experience with open-source web app framework in Python for data science (e.g., Streamlit, Gradio)
Self-accountable for ensuring that results are achieved; demonstrate a strong orientation towards achievement; deliver work in a timely matter with minimal errors and guidance
Experience with open-source web app framework in Python for data science (e.g., Streamlit, Gradio)
Scope and deliver solutions with the ability to design solutions independently based on high-level architecture
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Able to report to a technical and a non-technical audience.
Excellent critical thinking, verbal communication, and problem-solving skills
Ability to work independently, manage small engagements or parts of large engagements
Strong problem solving and troubleshooting skills with the ability to exercise mature judgement
Qualifications:
Assistant Manager
Master’s degree in Computer Science, Data Science, Mathematics, Statistics, or related fields and 6 years of related experience

Designation: Data Scientist – Assistant Manager/Senior Analyst
Location: Mumbai/Bengaluru
Work Timing: 11:00 AM IST to 8:00 PM IST
How you'll grow
At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.
Benefits
At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.
Deloitte's culture
Inclusion is a major part of how we lead. It invites authenticity, leverages our diversity, and fosters well-being. We seek out and involve individuals with diverse experiences and backgrounds because we know how critical this can be in making an impact that matters to our clients and our people. Learn more about Life at Deloitte.
Corporate citizenship
Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people, and our communities. We drive impact through our signature national programs: education and veterans, and through pro bono and other key programs such as board service opportunities and Impact Day. Learn more about Deloitte’s impact on the world.
Recruiter tips
We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the
organization and the business area you’re applying to. We also suggest that you brush up on your interviewing skills and practice discussing your experience and job history with a family member, friend, or mentor.
Check out recruiting tips from Deloitte professionals to help you prepare.
M&R BGS-LB2
Recruiting tips
Finding the right job and preparing for the recruitment process can be tricky. Check out tips from our Deloitte recruiting professionals to set yourself up for success. Check out recruiting tips from Deloitte recruiters.
Benefits
We believe that to be an undisputed leader in professional services, we should equip you with the resources that can make a positive impact on your well-being journey. Our vision is to create a leadership culture focused on the development and well-being of our people. Here are some of our benefits and programs to support you and your family’s well-being needs. Learn more about what working at Deloitte can mean for you.
Our people and culture
Our people and our culture make Deloitte a place where leaders thrive. Get an inside look at the rich diversity of background, education, and experiences of our people. What impact will you make? Be inspired by the stories of our people.
Our purpose
Deloitte’s purpose is to make an impact that matters for our clients, our people, and in our communities. We are creating trust and confidence in a more equitable society. At Deloitte, purpose is synonymous with how we work every day. It defines who we are. We are focusing our collective efforts to advance sustainability, equity, and trust that come to life through our core commitments. Learn more about Deloitte's purpose, commitments, and impact.
Professional development
You want to make an impact. And we want you to make it. We can help you do that by providing you the culture, training, resources, and opportunities to help you grow and succeed as a professional. Learn more about our commitment to developing our people.
Requisition code: 134842
Hiring Insights
Job activity
0
Posted 30+ days ago",3.9,Deloitte,"Bengaluru, Karnataka",[],N/A
"Data Scientist, Growth and Data Products",-1,"Job Description:
We’re looking for a data scientist who can work with the CDO’s strategy office of Dow Jones to strategize and support the execution of data-driven projects and initiatives across Dow Jones.
You will report to the VP, Growth and New Data Products, and will be responsible for conceptualizing and piloting innovative Data and AI use cases for all of Dow Jones. You will be working with the CDO’s strategy office including team of business analysts and data engineering team.
To do this job, you’ll need to be:
An excellent communicator – acting as a data scientist, you will be the bridge between the business and engineering arms of the organization. You must be able to communicate highly-technical details to senior business stakeholders, and phrase business goals in technical terms. Excellent verbal and written communication skills are a must.
Technical – you won’t only be communicating back and forth, but often will be part of building data-driven solutions yourself. Familiarity with software engineering is necessary, and experience with data-related software engineering (e.g. Python, R, SQL, etc) is preferred.
Business Value oriented – you will need to be excellent in quantifying value benefits from various data team initiatives and explain the return on data investments that Dow Jones makes. You must be able to architect value from all potential use cases and make sure the estimated value is delivered from the data products.
Have a minimum of 3 years’ experience working at the intersection of business and data with a technology focus.
Knowledgeable in data solutions relating to B2B and B2C digital products, marketing, and services is a strong plus.
Responsibilities for this role include:
Conceptualize various innovative ‘data’ initiatives and use cases across media and entertainment industry that can be applied to Dow Jones
Work with data engineering team to elaborate and obtain data required to validate hypothesis from each use case
Help run pilot on hypothesis and justify business value
Architect value from these initiatives and create a compelling value story to enable funding for execution of the use cases
Here are some things that we'd prefer to see, though none is independently a requirement:
Bachelor’s degree / Master’s degree in data sciences
Data science experience in media and entertainment industry
Great powerpoint, storyboarding and excel skills
Experience with working with senior leadership
Dow Jones, Making Careers Newsworthy - All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets. Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, email us at talentresourceteam@dowjones.com. Please put ""Reasonable Accommodation"" in the subject line.
Business Area: TECHNOLOGY - PRODUCT DEVELOPMENT
Job Category: Data Analytics/Warehousing & Business Intelligence
Union Status:
Non-Union role
Since 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.
This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.
If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.
Req ID: 36959
Hiring Insights
Job activity
Posted 15 days ago",3.9,Dow Jones,"New Delhi, Delhi
+1 location",[],N/A
Senior Machine Learning Engineer,-1,"Senior Machine Learning Engineer

Join our Digital Solutions team

Are you a Sr Machine Learning Engineer looking for an innovative change?

Join our Bently Nevada Team

Baker Hughes Bently Nevada offers a plant-wide, holistic suite of machine condition monitoring and protection hardware, software and services that help achieve the highest level of asset reliability possible. Our team takes ownership in designing and implementing web/cloud applications.

Partner with the best

As a Senior Machine Learning Engineer, you will be involved in designing and implementing web/cloud applications and converting Machine learning models from POC to production while integrating it into the application. You will be responsible for designing, programming and technically guiding the team.
As Senior Machine Learning Engineer you will be responsible for:
Software engineering for Machine learning. Python software development and converting Machine learning models provided by the Data scientist into production quality considering scalability, performance, data & application integration, etc.
Data Cleaning, Wrangling & validation.
Data Mining and supporting model research is desired but not mandatory.
Developing back-end and front-end services in any language/script/technology as per the project need.
Working on enterprise-scale/complex project that require you to connect the business needs and domain with technical knowledge.
Working & collaborating with cross-functional teams of Devs, Architects, Data engineers, Data Scientists, SMEs, devops, quality engineers, product managers, etc to implement efficient Analytical solutions.
Spearheading technical coaching, model/code reviews, best practices, etc.
Leading and consulting in architecture and design of the application, supporting team execution.
Helping in designing interfaces and information exchange between modules.
Fuel your passion
To be successful in this role you will need:
7+ yrs of total experience across software development and machine learning. At least 3+ years in Python backend development in Web/Cloud application along with established leadership credentials. 2+ years in Machine/Deep learning/AI.
Expertise in numpy, pandas, Scikit, TensorFlow, converting ML/DL/AI models to production ready, data processing & validation.
Prior experience of working on Analytics/Data Science projects (applications that manage and deploy ML/DL/statistical models to predict/prescribe) as a software developer or ML engineer.
Expertise in architecture, design and software development best practices.
Experience of software engineering for Machine Learning & its best practices.
Willing to specialize in Machine Learning Engineering instead of general roles like Data Scientist or backend dev. Motivated by scaling POC ML models to production level instead of constraining just to research driven ML POCs.
Have prior experience of implementing an application on Azure/AWS using microservices architecture; docker/containerization.
Have proficiency in Database (MySQL, PostgreSQL). Awareness of managed services like PostgreSQL, Redis.
Have deep understanding of Application and Infrastructure architecture and non-functional aspects like Performance, Scalability, Reliability, Availability etc.
Have good communication, Problem-solving skills, Collaboration, Influencing and articulation.
Have been a graduate of Computer Science or in STEM Majors (Science, Technology, Engineering, statistics, Math) or Data Scientist with programming background.
Good to have - typed javascript and Node.js
About Us:
We are an energy technology company that provides solutions to energy and industrial customers worldwide. Built on a century of experience and conducting business in over 120 countries, our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet.

Join Us:
Are you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! Let’s come together and take energy forward.

Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Hiring Insights
Job activity
Posted 30+ days ago",4.0,Baker Hughes,"Mumbai, Maharashtra",[],N/A
Supply Chain Network Data & Analytics Specialist,-1,"Relocation Assistance Offered Within Country
# 141580 - Mumbai, Maharashtra, India

About Colgate-Palmolive:
Do you want to come to work with a smile and leave with one as well? In between those smiles, your day consists of connecting with others across the world, full of stimulating discussions, and making impactful contributions!
If this is how you see your career, Colgate is the place to be! Our diligent household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. We win as a global organization by continually learning and collaborating. The pride in our brand fuels a workplace that encourages creative thinking champions experimentation and promotes authenticity which has contributed to our enduring success. If you want to work for a company that lives by its values, then give your career a reason to smile...every single day.

Role’s top Objectives:
Set up the data & Analytics Transformation roleE for CP India Supply Chain with clear definition of the areas of impacts
Setting up the key processes to accelerate the D&A journey for CP India SC
Establishing the sources and channels for data flow and the analytics cycle for various projects and ongoing core analytics
Continuously identify the analytics opportunities to keep expanding the scope for driving operational efficiencies and transformation work

Core responsibilities:
Partner with stakeholders to Identify, execute and Implement analytics projects to drive the Supply Chain Strat. plans.
Manage local & global project related to digital & Analytics
Testing digital platform and technology transfer
Study the best practices, internally and externally and share and implement the learning’s.
Collaborate with cross functional team to develop innovative solutions for supply chain to
meet business needs
Improve people capability for digital and analytics
Using automated tools to extract data from primary and secondary sources
Developing and maintaining databases, data systems – reorganizing data in a readable format
Performing analysis to assess quality and meaning of data
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
Creating and generating periodic reports to share insights for business opportunities
Helping plant teams with technical expertise to build local D&A capabilities

Required Skills & Qualification:
In order of preference
A Supply Chain/manufacturing Professional with 2-3 years post MBA of experience who has done work in the field of Data and Analytics.
Bachelor’s in Data Science/Computer Science/Engineering/Statistics and 5+ years experience required OR Graduate degree in quantitative discipline and demonstrated Data Science skill set, plus 2+ years work experience.

Must have proficiency with applying Data Science techniques on large scale data sets: Machine learning to solve clustering, classification, regression, anomaly detection; Optimization or simulation techniques to solve prescriptive problems. Must have proven ability to derive new insights by merging and transforming internal & external data sets Experience with Big Data technologies desired. Exposure in implementing Industry 4.0 led Digital platform is a plus. Hands-on experience in using Python/R scripting will be useful; along with exposure towards data management through SQL.

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation.
Hiring Insights
Job activity
Posted 30+ days ago",4.3,Colgate-Palmolive,"Mumbai, Maharashtra",[],N/A
Audit Reporting and Analytics Analyst,-1,"Job details
Job Type
Full-time
Full Job Description
About this Opportunity
The role's primary responsibilities align with Internal Audit's Data Analytics and Continuous Monitoring Program which has the broad objective of developing and managing the use of technology and tools to provide automated solutions to enhance the efficiency and effectiveness of the audit execution, while building broad functional knowledge of DTCC processes and related risks and controls.
Your Responsibilities :
Develop and execute processes within the Audit Reporting and Automation (ARA) function including, but not limited to, the Data Analytics and Continuous Monitoring Programs and assisting with the management of tickets for IAD tooling support
Assist the team in executing on a multi-year strategy to elevate the use of data and analytics within the Internal Audit function
Use data analysis methods and technologies to automate audit testing and develop techniques for continuous auditing and analyzing large volumes of data
Retrieve, manipulate and analyze structured and unstructured data from a variety of sources that can then be transformed into relevant business information used to support audit testing and conclusions regarding enterprise risks and controls
Build queries and tools to increase efficiencies and to support Internal Audit processes/decisions
Build and maintain analytical tools and applications used to collect, process, and present data across the department for use in audit testing
Develop routine data validation checks to increase accuracy and integrity of data and output produced
Collaborate with stakeholders to review and validate business requirements; develop and execute on plans to implement requirements while keeping stakeholders apprised of progress at regular intervals
Design and execute data extract routines to support selected audits within the annual audit plan
Create and maintain documentation of all work products
Adhere to the team’s project and release management standards and provide effective challenge to facilitate continuous improvement
Talents Needed For Success:
Minimum of 1 year related experience with databases/reporting, ETL, data analysis, reporting automation and visualization tools (e.g. SQL, Microsoft Power BI, Tableau)
Experience in data cleansing and preparation methods and technologies for analysis (e.g. Talend, Alteryx, Informatica)
Strong knowledge of working with and manipulating a variety of data types (e.g. structured, unstructured, hierarchical) from a variety of sources (e.g. relational databases, system logs, SharePoint) to produce meaningful analyses
Ability to communicate findings from data to non-technical individuals
Working knowledge of data science and machine learning principles and technologies (e.g. Python, R, KNIME) along with real world applications is a plus
Experience in Internal Audit, first or second line risk functions, financial services, and/or Big 4 Accounting is a plus
Ability to identify, prioritize and manage your book of work, and keep stakeholders continuously informed on progress and roadblocks along the way

DTCC safeguards the financial markets and helps them run efficiently, in times of prosperity and crisis. We are uniquely positioned at the center of global trading activity, processing over 100 million financial transactions every day, pioneering industry-wide, post-trade solutions and maintaining multiple data and operating centers worldwide. From where we stand, we can anticipate the industry’s needs and we’re working to continually improve the world’s most resilient, secure and efficient market infrastructure. Our employees are driven to deliver innovative technologies that improve efficiency, lower cost and bring stability and certainty to the post-trade lifecycle.

DTCC proudly supports Flexible Work Arrangements favoring openness and gives people freedom to do their jobs well, by encouraging diverse opinions and emphasizing teamwork. When you join our team, you’ll have an opportunity to make meaningful contributions at a company that is recognized as a thought leader in both the financial services and technology industries. A DTCC career is more than a good way to earn a living. It’s the chance to make a difference at a company that’s truly one of a kind.
Learn more about Clearance and Settlement by clicking here .

The Internal Audit Department's (IAD) mission is to deliver independent assessments of the organization's overall control environment and to promote proactive risk identification and mitigation.
Hiring Insights
Job activity
Posted 30+ days ago",3.7,DTCC,"Chennai, Tamil Nadu",[],['Full-time']
Data Scientist,-1,"Responsible for data mining or extracting usable data from valuable data sources. Enhancing data collection procedures to include all relevant information for developing analytic systems.

Processing, cleansing, and validating the integrity of data to be used for analysis. Analyzing large amounts of information to find patterns and solutions.
Hiring Insights
Job activity
Posted 15 days ago",-1,Athos Systems,"Bandra, Mumbai, Maharashtra",[],N/A
Engineering Leader - Machine Learning,-1,"Eightfold was founded with a vision to solve for employment in our society. For decades, the connection between individuals and opportunities has been based on who the individuals are and the strength of their network, vs. their potential. Eightfold leverages artificial intelligence to transform how to think about skills and capabilities for individuals as well as how jobs and career decisions are made. Eightfold offers the industry’s first AI-powered Talent Intelligence Platform to transform how organizations plan, hire, develop and retain a diverse workforce, enabling individuals to transform their careers.
To date, Eightfold AI has received more than $410 million in funding and a valuation of over $2B from leading investors to further our mission of finding the right career for everyone in the world. If you are passionate about solving one of the most fundamental challenges of our society - employment, working on hard business problems, and being part of an amazing growth story - Eightfold is the place to be!
You may want to refer to the media coverage on TechCrunch and Reuters. Eightfold.ai is led by Ashutosh Garg, a PhD in Machine Learning/IIT Delhi alumni who managed Search and Personalization at Google, and Varun Kacholia- IIT Bombay alumni, who led the News Feed Ranking team at Facebook and developed YouTube Search at Google.
Our customers- https://eightfold.ai/customers/customer-stories/
Press - https://eightfold.ai/about/press/

About AI Platform Team:
The AI Platform team is building the industry leading Machine Learning platform for Eightfold’s Data Scientists, Machine Learning Engineers and Product Engineers to easily and quickly apply Machine Learning to a diverse set of use cases at scale. This team is also responsible for pushing the boundaries of applied Machine Learning on a challenging and diverse dataset.
What you will do (or learn to do):
You will be owning, training, building and deploying cutting edge deep learning models across all Eightfold products, end to end.
You will collaborate on various ideas and ensure that there is a highly reliable, world class platform to run ML models on.
You will help build high performance and flexible infrastructure and services that can rapidly evolve to handle new technologies, techniques and modeling approaches
You will implement and operate an intuitive, easy to use and flexible ML development framework.
Build data pipelines that are able to generate structure from unstructured data
Create industry best practices for Machine Learning in Recruiting
Own building and deploying cutting edge deep learning models across all Eightfold products
Do it responsibly to provide equal opportunity for everyone by extending our internal model fairness platform
Work with various product teams to apply deep learning as relevant

What you should already know:
Strong foundation in Machine Learning (ML), Deep Learning, and NLP
Hands-on experience in applying Natural Language Processing solutions to challenging real world problems.
Ability to work cross functionally & interface with data science experts across Eightfold customer base
Familiar with Language models, transformers like BERT, GPT-3, T-5 etc.
BS or MS or PhD degree in Computer Science, Data Science or Mathematics
Exceptionally strong knowledge of CS fundamental concepts and ML languages ( like Python, C, C++, Java, JavaScript, R, and Scala, etc. )
Ability to innovate, as proven by a track record of software artifacts or academic publications in applied machine learning.
Prior experience building and deploying machine learning models in production at scale
Understanding of data and/or ML systems with ability to think across layers of the stack - REST APIs, microservices, data ingestion and processing systems, and distributed systems.
Extensive experience with scientific libraries in Python (numpy, pandas) and machine learning tools and frameworks (scikit-learn, tensorflow, torch, etc.).
Experience of implementing production machine learning systems, working with large scale datasets and solid understanding of machine learning theory.
Metrics-focused and passionate about delivering high quality models.
Experience with analyzing large data sets, using Hadoop, Spark

Nice To have:
Experience with real-time technology problems
Familiar with Pandas / Python machine learning libraries
Familiar with Spark, MLLib, Databricks MLFlow, Apache Airflow and similar related technologies.
Familiar with a cloud based environment such as AWS
Familiarity with MLOps tools and pipelines (MLflow, Metaflow).
Hiring Insights
Job activity
Posted 30+ days ago",-1,Eightfold.AI,"India
+1 location",[],N/A
Data scientist - Lead,-1,"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems
Hiring Insights
Job activity
Posted today",4.0,ICICI Prudential Life,"Mumbai, Maharashtra",[],N/A
Data Scientist,-1,"Responsibilities
Industry knowledge- Knows basic principles of industry lexicon, competitor landscape, sub-verticals and related best practices in order to provide suggestions for specific functional processes. Basic understanding of industry standards to document current customer compliance and gaps. Functional/Process knowledge- Shows the basic understanding of processes in relevant functional areas (such as Telecom – Fulfillment, Assurance, Workforce Management, Billing etc.) in order to Document or guide documentation of simple as-is customer processes Appreciate the context of customer requirements from specific engagements Ability to suggest Analytics algorithms to use based on business situation mindful of fundamental assumptions in the algorithms; OR Work with other data scientists as a team to understand algorithms suggested and provide QA in algorithm choice from a business perspective Align our deliverables to customer requirements, provide business acumen to avoid apparently bookish or theoretical output Ability to converse with customers on rationale for an approach taken, pros and cons, etc. Responsible for successful delivery of Advanced Analytics solutions and services in client consulting environments; experience in optimization (linear, mixed integer, constraint programming), simulation, and/or predictive analytics using AAO tools, such as SAS or SPSS and other Tools R and Python. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and present to client. Assist clients in identifying type of analytics and management data that will directly relate to improving clients' market share or any other measure client is addressing. Identify the differentiators, map them to present-day environment, and then design an improvement plan. Discover new opportunities to optimize the business through analytics and statistical modeling. Oversee all aspects of analytics and business intelligence projects if necessary.
Additional Responsibilities:
Analytical ability- Looks at data from multiple sources and integrates data/inputs in a manner to build cause effect linkages to arrive at key issues. Uses understanding of the problem to arrive at multiple solution alternatives keeping in mind the various stakeholders and assess the pros and cons of all the alternatives to arrive at the optimal solution Business acumen- Understands the linkages of metrics and end objectives to key business drivers and aligns team efforts to deliver on it. Demonstrates basic understanding of business financial parameters and is aware of business value impact of activities and decisions taken by him/her and team. High Impact Communication- Assesses the target audience need, prepares and practices a logical flow, answers audience questions appropriately and sticks to timeline.
Technical and Professional Requirements:
Domain / Technical /Tools / Platform / FrameWorks - Knowledge: Preferred Proficiency with statistical analysis tools (e.g., SAS, SPSS, R & Python) Hands on experience in Statistical Techniques & Deep Learning such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others Experience of Forecasting, Campaign Management and Customer Segmentation is desirable Strong Excel, Access and PowerPoint skills Familiarity with database query tools (SQL) Basic understanding of data warehouse architecture Understanding of various Analytical Tools, Platform & Frameworks.
Preferred Skills:
Analytics->Data Science
Educational Requirements
Bachelor of Engineering
Hiring Insights
Job activity
Posted 8 days ago",3.9,Infosys Limited,"Bengaluru, Karnataka",[],N/A
Data Scientist,"₹5,00,000 - ₹10,00,000 a year","Job details
Salary
₹5,00,000 - ₹10,00,000 a year
Benefits & Perks
Health insurance
Job Type
Full-time
Benefits
Pulled from the full job description
Health insurance
Full Job Description
Data Scientist - Machine Learning, Image Processing, and Computer Vision
Strong knowledge of Machine Learning, Image processing techniques, Image & video analysis, object recognition/tracking, and pattern recognition.
Expert knowledge in one or more fields: digital photogrammetry, digital image processing, data fusion techniques, and optimization algorithms.
Broad knowledge in one or more related fields: numerical analysis, data analysis, mathematical modeling, and estimation theory.
A good understanding of mathematical and statistical methods is essential. Expertise and good proficiency in Python (Mandatory), and R.
Experience in algorithmic and computational optimization.
Knowledge of AI techniques such as CNN, Computer Vision, Google Tensorflow + Keras, and Deep Learning is mandatory.
Knowledge of libraries such as Scikit-Image, SciPy, NumPy, Pillow, Matplotlib, Pandas, Open-CV, and StarDist is essential.
MS/M. Tech or BS/B. Tech in Mathematics, Statistics, Applied Mathematics, and Computer Science is preferred.
Good communication skills (oral, verbal, and written) are a must.
Job Type: Full-time
Salary: ₹500,000.00 - ₹1,000,000.00 per year
Benefits:
Health insurance
Schedule:
Day shift
Ability to commute/relocate:
Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)

Health insurance
Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 8 days ago
Posted 14 days ago",-1,Aventior,"Pune, Maharashtra",['Health insurance'],['Full-time']
